,size,db,task,method,trial,fold,score,scorer,selection,X_shape,Type,imputation_WCT,tuning_WCT,imputation_PT,tuning_PT
113,2500,MIMIC,hemo_pvals,MIA,2,3,0.7735161123704014,roc_auc_score,ANOVA,"(30836, 100)",Classification,,72.867437,,2331.501433
114,2500,MIMIC,hemo_pvals,MIA,2,4,0.6976546132957747,roc_auc_score,ANOVA,"(30836, 100)",Classification,,71.35043,,2281.957833
115,2500,MIMIC,hemo_pvals,MIA,3,0,0.7686983886982334,roc_auc_score,ANOVA,"(30836, 100)",Classification,,77.091593,,2465.110623
116,2500,MIMIC,hemo_pvals,MIA,3,1,0.7797371499536343,roc_auc_score,ANOVA,"(30836, 100)",Classification,,72.123303,,2307.793745
117,2500,MIMIC,hemo_pvals,MIA,3,2,0.7697130846368174,roc_auc_score,ANOVA,"(30836, 100)",Classification,,76.44739200000001,,2441.600981
118,2500,MIMIC,hemo_pvals,MIA,3,3,0.7915449484625944,roc_auc_score,ANOVA,"(30836, 100)",Classification,,73.17392,,2340.222385
119,2500,MIMIC,hemo_pvals,MIA,3,4,0.7875447206252754,roc_auc_score,ANOVA,"(30836, 100)",Classification,,73.648984,,2355.011339
120,2500,MIMIC,hemo_pvals,MIA,4,0,0.7903850493841704,roc_auc_score,ANOVA,"(30836, 100)",Classification,,73.47568299999999,,2349.572587
121,2500,MIMIC,hemo_pvals,MIA,4,1,0.783641409950536,roc_auc_score,ANOVA,"(30836, 100)",Classification,,75.23690699999999,,2407.5156629999997
122,2500,MIMIC,hemo_pvals,MIA,4,2,0.7331241372495462,roc_auc_score,ANOVA,"(30836, 100)",Classification,,75.308992,,2409.668162
123,2500,MIMIC,hemo_pvals,MIA,4,3,0.7743729187729753,roc_auc_score,ANOVA,"(30836, 100)",Classification,,74.530461,,2380.549833
124,2500,MIMIC,hemo_pvals,MIA,4,4,0.8087147342998297,roc_auc_score,ANOVA,"(30836, 100)",Classification,,72.077502,,2305.579448
125,2500,MIMIC,hemo_pvals,Mean,0,0,0.750888846025555,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.010939,78.858816,0.010905,2514.2919190000002
126,2500,MIMIC,hemo_pvals,Mean,0,1,0.7242926363237412,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.011964,79.58206700000001,0.381909,2536.934728
127,2500,MIMIC,hemo_pvals,Mean,0,2,0.7098351933575064,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.010848,70.144465,0.044657999999999996,2238.437975
128,2500,MIMIC,hemo_pvals,Mean,0,3,0.7782709650248141,roc_auc_score,ANOVA,"(30836, 100)",Classification,0.010190000000000001,65.489655,0.010165,2089.848156
